,unique_identify,-logAffi,target,pdb,compnd,max_tanimoto_schrodinger,max_tanimoto_merck,max_tanimoto_fep_benchmark
13,CHEMBL1075045_3h2f_CHEMBL578135,3.6675615400843946,CHEMBL1075045,3h2f,CHEMBL578135,0.1705426356589147,0.175438596491228,0.175438596491228
14,CHEMBL1075045_3h2o_CHEMBL576455,4.059981844992337,CHEMBL1075045,3h2o,CHEMBL576455,0.2348993288590604,0.2065217391304347,0.2867132867132867
15,CHEMBL1075045_4daf_CHEMBL3219803,4.958607314841775,CHEMBL1075045,4daf,CHEMBL3219803,0.1285714285714285,0.1359223300970873,0.1442307692307692
16,CHEMBL1075053_1gx8_CHEMBL986,7.443697499232712,CHEMBL1075053,1gx8,CHEMBL986,0.0949367088607595,0.0846153846153846,0.10625
17,CHEMBL1075067_2v00_CHEMBL235821,3.657577319177794,CHEMBL1075067,2v00,CHEMBL235821,0.3039215686274509,0.2604166666666667,0.375
18,CHEMBL1075088_3iqg_CHEMBL568900,4.600000074606178,CHEMBL1075088,3iqg,CHEMBL568900,0.1556603773584905,0.1151832460732984,0.1556603773584905
19,CHEMBL1075088_3iqh_CHEMBL568828,4.589999963296594,CHEMBL1075088,3iqh,CHEMBL568828,0.1485148514851485,0.1061224489795918,0.1485148514851485
20,CHEMBL1075088_3iqh_CHEMBL568986,4.219999989963101,CHEMBL1075088,3iqh,CHEMBL568986,0.138755980861244,0.1087866108786611,0.1512195121951219
21,CHEMBL1075088_3iqh_CHEMBL568987,3.720000004094201,CHEMBL1075088,3iqh,CHEMBL568987,0.2216981132075471,0.140495867768595,0.2451923076923076
22,CHEMBL1075088_3iqi_CHEMBL568812,2.990000000967972,CHEMBL1075088,3iqi,CHEMBL568812,0.1208791208791208,0.0657894736842105,0.1208791208791208
23,CHEMBL1075088_3iqi_CHEMBL569308,4.41000005022751,CHEMBL1075088,3iqi,CHEMBL569308,0.1116751269035533,0.0617283950617283,0.1116751269035533
24,CHEMBL1075088_3iqi_CHEMBL569309,1.87999999985386,CHEMBL1075088,3iqi,CHEMBL569309,0.1015228426395939,0.0711297071129707,0.1015228426395939
25,CHEMBL1075088_3iqi_CHEMBL570451,1.8200000001251635,CHEMBL1075088,3iqi,CHEMBL570451,0.0994764397905759,0.0686695278969957,0.0994764397905759
26,CHEMBL1075088_3iqi_CHEMBL571766,3.239999997990306,CHEMBL1075088,3iqi,CHEMBL571766,0.108695652173913,0.0745341614906832,0.108695652173913
27,CHEMBL1075088_3iqi_CHEMBL571997,4.360000032076103,CHEMBL1075088,3iqi,CHEMBL571997,0.1025641025641025,0.0697674418604651,0.1025641025641025
28,CHEMBL1075088_3iqi_CHEMBL576268,2.6400000005247044,CHEMBL1075088,3iqi,CHEMBL576268,0.1182795698924731,0.0646551724137931,0.1182795698924731
29,CHEMBL1075088_3iqi_CHEMBL585737,2.470000000178415,CHEMBL1075088,3iqi,CHEMBL585737,0.1197916666666666,0.0672268907563025,0.1197916666666666
30,CHEMBL1075097_3kv2_CHEMBL1234777,7.327902142064283,CHEMBL1075097,3kv2,CHEMBL1234777,0.1016949152542373,0.0694444444444444,0.1056910569105691
31,CHEMBL1075097_3lp4_CHEMBL1834160,4.221848749616356,CHEMBL1075097,3lp4,CHEMBL1834160,0.0887096774193548,0.0661764705882353,0.0919540229885057
32,CHEMBL1075097_3mfv_CHEMBL1099168,2.5228787452803374,CHEMBL1075097,3mfv,CHEMBL1099168,0.12,0.1123595505617977,0.146067415730337
33,CHEMBL1075097_3mfw_CHEMBL1099167,3.5228787452803374,CHEMBL1075097,3mfw,CHEMBL1099167,0.1157894736842105,0.1309523809523809,0.1395348837209302
34,CHEMBL1075097_3mjl_CHEMBL291627,2.4436974992327127,CHEMBL1075097,3mjl,CHEMBL291627,0.0792079207920792,0.1052631578947368,0.1372549019607843
35,CHEMBL1075127_3gt9_CHEMBL1090770,3.795880017344075,CHEMBL1075127,3gt9,CHEMBL1090770,0.2198952879581152,0.1744680851063829,0.2427184466019417
36,CHEMBL1075127_3gt9_CHEMBL1090867,4.167491087293763,CHEMBL1075127,3gt9,CHEMBL1090867,0.2234042553191489,0.1767241379310344,0.2587064676616915
37,CHEMBL1075127_3gt9_CHEMBL1091216,4.161150909262744,CHEMBL1075127,3gt9,CHEMBL1091216,0.2198952879581152,0.1744680851063829,0.2427184466019417
38,CHEMBL1075127_3gt9_CHEMBL1092184,3.795880017344075,CHEMBL1075127,3gt9,CHEMBL1092184,0.2153846153846154,0.1715481171548117,0.238095238095238
39,CHEMBL1075127_3gt9_CHEMBL1092185,3.853871964321762,CHEMBL1075127,3gt9,CHEMBL1092185,0.2118226600985221,0.1687242798353909,0.2394366197183098
40,CHEMBL1075127_3gt9_CHEMBL1093598,3.853871964321762,CHEMBL1075127,3gt9,CHEMBL1093598,0.2118226600985221,0.1659919028340081,0.2350230414746544
41,CHEMBL1075127_3gt9_CHEMBL1094001,3.886056647693163,CHEMBL1075127,3gt9,CHEMBL1094001,0.1927083333333333,0.1435406698564593,0.2155963302752293
42,CHEMBL1075127_3gta_CHEMBL1089012,2.920818753952376,CHEMBL1075127,3gta,CHEMBL1089012,0.2285714285714285,0.1657458563535911,0.2425742574257425
43,CHEMBL1075127_3gta_CHEMBL1089023,4.167491087293763,CHEMBL1075127,3gta,CHEMBL1089023,0.2239583333333333,0.1620111731843575,0.2524752475247525
44,CHEMBL1075127_3gta_CHEMBL1089024,4.3979400086720375,CHEMBL1075127,3gta,CHEMBL1089024,0.2239583333333333,0.1716738197424892,0.2524752475247525
45,CHEMBL1075127_3gta_CHEMBL1089398,4.346787486224656,CHEMBL1075127,3gta,CHEMBL1089398,0.2072538860103626,0.1704545454545454,0.228310502283105
46,CHEMBL1075127_3gta_CHEMBL1089693,3.6989700043360174,CHEMBL1075127,3gta,CHEMBL1089693,0.2209302325581395,0.1642512077294686,0.2295081967213114
47,CHEMBL1075127_3gta_CHEMBL1089694,3.337242168318426,CHEMBL1075127,3gta,CHEMBL1089694,0.2032085561497326,0.1645021645021645,0.2203389830508474
48,CHEMBL1075127_3gta_CHEMBL1089695,3.136677139879544,CHEMBL1075127,3gta,CHEMBL1089695,0.2378378378378378,0.1868131868131868,0.2385321100917431
49,CHEMBL1075127_3gta_CHEMBL1090431,3.886056647693163,CHEMBL1075127,3gta,CHEMBL1090431,0.2352941176470588,0.1770833333333333,0.2352941176470588
50,CHEMBL1075127_3gta_CHEMBL1090866,3.9208187539523753,CHEMBL1075127,3gta,CHEMBL1090866,0.2134831460674157,0.1886792452830188,0.2134831460674157
51,CHEMBL1075127_3gta_CHEMBL1091044,3.958607314841775,CHEMBL1075127,3gta,CHEMBL1091044,0.2263157894736842,0.1683673469387755,0.2453703703703703
52,CHEMBL1075127_3gta_CHEMBL1091045,4.0,CHEMBL1075127,3gta,CHEMBL1091045,0.2263157894736842,0.1782608695652174,0.2425742574257425
53,CHEMBL1075127_3gta_CHEMBL1091215,3.677780705266081,CHEMBL1075127,3gta,CHEMBL1091215,0.2239583333333333,0.1684210526315789,0.2463054187192118
54,CHEMBL1075127_3gta_CHEMBL1091442,3.886056647693163,CHEMBL1075127,3gta,CHEMBL1091442,0.2320441988950276,0.1607142857142857,0.2361111111111111
55,CHEMBL1075127_3gta_CHEMBL1091453,4.619788758288394,CHEMBL1075127,3gta,CHEMBL1091453,0.2287234042553191,0.1746987951807229,0.2476635514018691
56,CHEMBL1075127_3gta_CHEMBL1091484,4.167491087293763,CHEMBL1075127,3gta,CHEMBL1091484,0.2192513368983957,0.2067307692307692,0.2378378378378378
57,CHEMBL1075127_3gta_CHEMBL1091485,3.886056647693163,CHEMBL1075127,3gta,CHEMBL1091485,0.225130890052356,0.1626794258373205,0.2537313432835821
58,CHEMBL1075127_3gta_CHEMBL1091762,3.657577319177794,CHEMBL1075127,3gta,CHEMBL1091762,0.2429378531073446,0.2138364779874214,0.2429378531073446
59,CHEMBL1075127_3gta_CHEMBL1092172,2.5686362358410126,CHEMBL1075127,3gta,CHEMBL1092172,0.2071005917159763,0.1454545454545454,0.2071005917159763
60,CHEMBL1075127_3gta_CHEMBL1092173,2.552841968657781,CHEMBL1075127,3gta,CHEMBL1092173,0.2,0.1379310344827586,0.2
61,CHEMBL1075127_3gta_CHEMBL1092174,3.1487416512809245,CHEMBL1075127,3gta,CHEMBL1092174,0.2771739130434782,0.1846153846153846,0.2771739130434782
62,CHEMBL1075127_3gta_CHEMBL1092759,4.356547323513812,CHEMBL1075127,3gta,CHEMBL1092759,0.2074468085106383,0.2019704433497537,0.219626168224299
63,CHEMBL1075127_3gta_CHEMBL1092760,4.443697499232712,CHEMBL1075127,3gta,CHEMBL1092760,0.2287234042553191,0.1746987951807229,0.2476635514018691
64,CHEMBL1075127_3gta_CHEMBL1092761,4.309803919971486,CHEMBL1075127,3gta,CHEMBL1092761,0.2222222222222222,0.1676646706586826,0.241860465116279
65,CHEMBL1075127_3gta_CHEMBL1093339,4.275724130399211,CHEMBL1075127,3gta,CHEMBL1093339,0.2459016393442623,0.1963190184049079,0.2594339622641509
66,CHEMBL1075127_3gta_CHEMBL1093356,4.494850021680094,CHEMBL1075127,3gta,CHEMBL1093356,0.2228260869565217,0.1520467836257309,0.228310502283105
67,CHEMBL1075127_3gta_CHEMBL1093691,3.744727494896694,CHEMBL1075127,3gta,CHEMBL1093691,0.2222222222222222,0.2215189873417721,0.2222222222222222
68,CHEMBL1075127_3gta_CHEMBL1093692,3.6989700043360174,CHEMBL1075127,3gta,CHEMBL1093692,0.1989528795811518,0.1479591836734693,0.2211981566820276
69,CHEMBL1075127_3gta_CHEMBL1093708,3.853871964321762,CHEMBL1075127,3gta,CHEMBL1093708,0.2793296089385474,0.2196531791907514,0.2793296089385474
70,CHEMBL1075127_3uw5_CHEMBL2063869,7.853871964321762,CHEMBL1075127,3uw5,CHEMBL2063869,0.2640449438202247,0.1510416666666666,0.2640449438202247
71,CHEMBL1075132_5y3n_CHEMBL4068596,7.102372908709558,CHEMBL1075132,5y3n,CHEMBL4068596,0.1468531468531468,0.1560283687943262,0.1833333333333333
72,CHEMBL1075132_5y3n_CHEMBL4095912,5.19825338078054,CHEMBL1075132,5y3n,CHEMBL4095912,0.1617647058823529,0.1716417910447761,0.2229299363057325
73,CHEMBL1075132_5y3o_CHEMBL4080323,6.860120913598763,CHEMBL1075132,5y3o,CHEMBL4080323,0.1521739130434782,0.1751824817518248,0.2232142857142857
74,CHEMBL1075152_4ly9_CHEMBL3113979,7.67778070526608,CHEMBL1075152,4ly9,CHEMBL3113979,0.1588785046728972,0.1823529411764705,0.1823529411764705
75,CHEMBL1075152_4ly9_CHEMBL3127340,5.714442690992226,CHEMBL1075152,4ly9,CHEMBL3127340,0.1895734597156398,0.1887755102040816,0.2239583333333333
76,CHEMBL1075152_4ly9_CHEMBL3127341,6.070581074285707,CHEMBL1075152,4ly9,CHEMBL3127341,0.1758241758241758,0.2065217391304347,0.2065217391304347
77,CHEMBL1075152_4ly9_CHEMBL3127342,5.910094888560602,CHEMBL1075152,4ly9,CHEMBL3127342,0.1944444444444444,0.2046511627906976,0.2233009708737864
78,CHEMBL1075152_4ly9_CHEMBL3127344,5.3655227298392685,CHEMBL1075152,4ly9,CHEMBL3127344,0.1758241758241758,0.2169811320754717,0.2185792349726776
79,CHEMBL1075152_4ly9_CHEMBL3127345,5.806875401645538,CHEMBL1075152,4ly9,CHEMBL3127345,0.1758241758241758,0.2105263157894736,0.2146596858638743
80,CHEMBL1075152_4ly9_CHEMBL3127346,5.823908740944319,CHEMBL1075152,4ly9,CHEMBL3127346,0.1989247311827957,0.1782178217821782,0.2
81,CHEMBL1075152_4ly9_CHEMBL3127347,7.236572006437063,CHEMBL1075152,4ly9,CHEMBL3127347,0.1943127962085308,0.1840796019900497,0.2
82,CHEMBL1075152_4ly9_CHEMBL3127348,7.443697499232712,CHEMBL1075152,4ly9,CHEMBL3127348,0.1612903225806451,0.1895734597156398,0.1895734597156398
83,CHEMBL1075152_4ly9_CHEMBL3127349,8.013228265733755,CHEMBL1075152,4ly9,CHEMBL3127349,0.1538461538461538,0.1756097560975609,0.1846153846153846
84,CHEMBL1075152_4ly9_CHEMBL3127350,7.022276394711152,CHEMBL1075152,4ly9,CHEMBL3127350,0.2068965517241379,0.1968911917098445,0.2135416666666666
85,CHEMBL1075152_4ly9_CHEMBL3127351,7.0,CHEMBL1075152,4ly9,CHEMBL3127351,0.2068965517241379,0.1968911917098445,0.2135416666666666
86,CHEMBL1075152_4ly9_CHEMBL3127352,7.920818753952375,CHEMBL1075152,4ly9,CHEMBL3127352,0.1588785046728972,0.1823529411764705,0.1823529411764705
87,CHEMBL1075152_4ly9_CHEMBL3127360,6.154281982033341,CHEMBL1075152,4ly9,CHEMBL3127360,0.2216748768472906,0.2097560975609756,0.2472527472527472
88,CHEMBL1075152_4ly9_CHEMBL3127361,6.667561540084395,CHEMBL1075152,4ly9,CHEMBL3127361,0.1944444444444444,0.1935483870967742,0.2203389830508474
89,CHEMBL1075152_4mqu_CHEMBL3114187,8.045757490560675,CHEMBL1075152,4mqu,CHEMBL3114187,0.1686746987951807,0.1977401129943503,0.2068965517241379
90,CHEMBL1075152_4mqu_CHEMBL3237982,6.42712839779952,CHEMBL1075152,4mqu,CHEMBL3237982,0.1726190476190476,0.1944444444444444,0.2057142857142857
91,CHEMBL1075152_4mqu_CHEMBL3238307,7.886056647693163,CHEMBL1075152,4mqu,CHEMBL3238307,0.1686746987951807,0.1933333333333333,0.1933333333333333
92,CHEMBL1075152_4mro_CHEMBL3237987,8.301029995663981,CHEMBL1075152,4mro,CHEMBL3237987,0.1647727272727272,0.1861702127659574,0.1967213114754098
93,CHEMBL1075152_4msu_CHEMBL3113992,6.619788758288394,CHEMBL1075152,4msu,CHEMBL3113992,0.1719745222929936,0.2026143790849673,0.2517006802721088
94,CHEMBL1075152_4msu_CHEMBL3127343,5.995678626217358,CHEMBL1075152,4msu,CHEMBL3127343,0.2131147540983606,0.199074074074074,0.2239583333333333
95,CHEMBL1075152_4msu_CHEMBL3127353,5.038578905933552,CHEMBL1075152,4msu,CHEMBL3127353,0.16875,0.1842105263157894,0.2155688622754491
96,CHEMBL1075152_4msu_CHEMBL3127354,6.522878745280337,CHEMBL1075152,4msu,CHEMBL3127354,0.16875,0.1842105263157894,0.2155688622754491
97,CHEMBL1075152_4msu_CHEMBL3127355,5.498940737782249,CHEMBL1075152,4msu,CHEMBL3127355,0.16875,0.1842105263157894,0.2155688622754491
98,CHEMBL1075152_4msu_CHEMBL3127356,5.3788237182249645,CHEMBL1075152,4msu,CHEMBL3127356,0.16875,0.1842105263157894,0.2155688622754491
99,CHEMBL1075152_4msu_CHEMBL3127357,5.841637507904751,CHEMBL1075152,4msu,CHEMBL3127357,0.1717791411042944,0.1857923497267759,0.2105263157894736
100,CHEMBL1075152_4msu_CHEMBL3127358,5.272458742971444,CHEMBL1075152,4msu,CHEMBL3127358,0.1626506024096385,0.1774193548387097,0.2151162790697674
101,CHEMBL1075152_4ohk_CHEMBL3237988,5.962573502059376,CHEMBL1075152,4ohk,CHEMBL3237988,0.1847826086956521,0.1952662721893491,0.2014388489208633
102,CHEMBL1075152_4ohk_CHEMBL3237989,5.512861624522813,CHEMBL1075152,4ohk,CHEMBL3237989,0.1871657754010695,0.2088607594936709,0.2123287671232876
103,CHEMBL1075152_4ohk_CHEMBL3238300,6.59176003468815,CHEMBL1075152,4ohk,CHEMBL3238300,0.1757575757575757,0.1629213483146067,0.1757575757575757
104,CHEMBL1075152_4ohk_CHEMBL3238313,7.886056647693163,CHEMBL1075152,4ohk,CHEMBL3238313,0.1620111731843575,0.1878453038674033,0.1878453038674033
105,CHEMBL1075152_4ohk_CHEMBL3238314,7.154901959985743,CHEMBL1075152,4ohk,CHEMBL3238314,0.1620111731843575,0.1878453038674033,0.1878453038674033
106,CHEMBL1075152_4ohm_CHEMBL3114185,8.397940008672037,CHEMBL1075152,4ohm,CHEMBL3114185,0.1618497109826589,0.1902173913043478,0.2122905027932961
107,CHEMBL1075152_4ohm_CHEMBL3237979,5.978810700930062,CHEMBL1075152,4ohm,CHEMBL3237979,0.1707317073170731,0.1851851851851851,0.2023121387283237
108,CHEMBL1075152_4ohm_CHEMBL3238306,7.744727494896693,CHEMBL1075152,4ohm,CHEMBL3238306,0.1686746987951807,0.1933333333333333,0.1933333333333333
109,CHEMBL1075152_4ohm_CHEMBL3238308,7.886056647693163,CHEMBL1075152,4ohm,CHEMBL3238308,0.1686746987951807,0.1933333333333333,0.1933333333333333
110,CHEMBL1075152_4ohm_CHEMBL3238309,8.0,CHEMBL1075152,4ohm,CHEMBL3238309,0.1551724137931034,0.1901840490797546,0.1988950276243093
111,CHEMBL1075152_4ohm_CHEMBL3238310,8.0,CHEMBL1075152,4ohm,CHEMBL3238310,0.1531100478468899,0.1901840490797546,0.1901840490797546
112,CHEMBL1075152_4ohm_CHEMBL3238312,7.619788758288394,CHEMBL1075152,4ohm,CHEMBL3238312,0.1620111731843575,0.1878453038674033,0.1878453038674033
113,CHEMBL1075152_4oho_CHEMBL3237978,4.6020599913279625,CHEMBL1075152,4oho,CHEMBL3237978,0.2196531791907514,0.1928571428571428,0.2369942196531791
114,CHEMBL1075152_4oho_CHEMBL3237981,8.221848749616356,CHEMBL1075152,4oho,CHEMBL3237981,0.1726190476190476,0.1944444444444444,0.2057142857142857
115,CHEMBL1075152_4oho_CHEMBL3237983,7.327902142064283,CHEMBL1075152,4oho,CHEMBL3237983,0.1726190476190476,0.1944444444444444,0.2057142857142857
116,CHEMBL1075152_4oho_CHEMBL3237986,8.221848749616356,CHEMBL1075152,4oho,CHEMBL3237986,0.1686046511627907,0.1902173913043478,0.2011173184357542
117,CHEMBL1075152_4oho_CHEMBL3237990,5.473660722610156,CHEMBL1075152,4oho,CHEMBL3237990,0.1794871794871795,0.1588235294117647,0.1794871794871795
118,CHEMBL1075152_4oho_CHEMBL3237991,6.396855627379818,CHEMBL1075152,4oho,CHEMBL3237991,0.2012195121951219,0.1847133757961783,0.2071428571428571
119,CHEMBL1075152_4oho_CHEMBL3237992,7.214670164989233,CHEMBL1075152,4oho,CHEMBL3237992,0.2012195121951219,0.1847133757961783,0.2071428571428571
120,CHEMBL1075152_4oho_CHEMBL3237993,7.455931955649724,CHEMBL1075152,4oho,CHEMBL3237993,0.2202380952380952,0.1941176470588235,0.2229729729729729
121,CHEMBL1075152_4oho_CHEMBL3237994,6.995678626217358,CHEMBL1075152,4oho,CHEMBL3237994,0.196629213483146,0.2559523809523809,0.2559523809523809
122,CHEMBL1075152_4oho_CHEMBL3238296,6.628932137728263,CHEMBL1075152,4oho,CHEMBL3238296,0.173469387755102,0.1875,0.2222222222222222
123,CHEMBL1075152_4oho_CHEMBL3238297,6.494850021680094,CHEMBL1075152,4oho,CHEMBL3238297,0.2055555555555555,0.2011173184357542,0.2055555555555555
124,CHEMBL1075152_4oho_CHEMBL3238298,5.795880017344075,CHEMBL1075152,4oho,CHEMBL3238298,0.2311557788944723,0.2032967032967033,0.2311557788944723
125,CHEMBL1075152_4oho_CHEMBL3238299,6.508638306165727,CHEMBL1075152,4oho,CHEMBL3238299,0.1772151898734177,0.1569767441860465,0.1772151898734177
126,CHEMBL1075152_4oho_CHEMBL3238301,7.346787486224656,CHEMBL1075152,4oho,CHEMBL3238301,0.1616766467065868,0.1835443037974683,0.1835443037974683
127,CHEMBL1075152_4oho_CHEMBL3238302,6.739928612014925,CHEMBL1075152,4oho,CHEMBL3238302,0.1616766467065868,0.1835443037974683,0.1835443037974683
128,CHEMBL1075152_4oho_CHEMBL3238303,7.769551078621726,CHEMBL1075152,4oho,CHEMBL3238303,0.1616766467065868,0.1835443037974683,0.1835443037974683
129,CHEMBL1075152_4oho_CHEMBL3238304,6.575118363368933,CHEMBL1075152,4oho,CHEMBL3238304,0.165680473372781,0.1801242236024844,0.1802325581395348
130,CHEMBL1075152_4oho_CHEMBL3238311,7.167491087293763,CHEMBL1075152,4oho,CHEMBL3238311,0.2058823529411764,0.1802325581395348,0.2058823529411764
131,CHEMBL1075152_4ohp_CHEMBL3237980,7.552841968657781,CHEMBL1075152,4ohp,CHEMBL3237980,0.1726190476190476,0.1944444444444444,0.2057142857142857
132,CHEMBL1075152_4ohp_CHEMBL3237984,7.552841968657781,CHEMBL1075152,4ohp,CHEMBL3237984,0.1686046511627907,0.1902173913043478,0.2146892655367231
133,CHEMBL1075152_4ohp_CHEMBL3237985,7.795880017344075,CHEMBL1075152,4ohp,CHEMBL3237985,0.175438596491228,0.1902173913043478,0.2011173184357542
134,CHEMBL1075152_4ohp_CHEMBL3238305,7.161150909262744,CHEMBL1075152,4ohp,CHEMBL3238305,0.1686746987951807,0.1835443037974683,0.1931818181818181
135,CHEMBL1075159_5vfd_CHEMBL4298137,6.163783949064429,CHEMBL1075159,5vfd,CHEMBL4298137,0.1276595744680851,0.1031746031746031,0.1276595744680851
136,CHEMBL1075165_4ph4_CHEMBL3780029,7.642835120127383,CHEMBL1075165,4ph4,CHEMBL3780029,0.2236024844720497,0.2024539877300613,0.2236024844720497
137,CHEMBL1075165_4ph4_CHEMBL3780077,5.468521082957745,CHEMBL1075165,4ph4,CHEMBL3780077,0.23125,0.1621621621621621,0.23125
138,CHEMBL1075165_4ph4_CHEMBL3780339,7.070581074285707,CHEMBL1075165,4ph4,CHEMBL3780339,0.2035928143712574,0.1954022988505747,0.2035928143712574
139,CHEMBL1075165_4ph4_CHEMBL3780762,6.594212497064703,CHEMBL1075165,4ph4,CHEMBL3780762,0.3081761006289308,0.255,0.3081761006289308
140,CHEMBL1075165_4ph4_CHEMBL3780864,6.3872161432802645,CHEMBL1075165,4ph4,CHEMBL3780864,0.23125,0.1875,0.23125
141,CHEMBL1075165_4ph4_CHEMBL3780896,6.537602002101044,CHEMBL1075165,4ph4,CHEMBL3780896,0.3142857142857143,0.2666666666666666,0.3142857142857143
142,CHEMBL1075165_4ph4_CHEMBL3781020,6.579633382694096,CHEMBL1075165,4ph4,CHEMBL3781020,0.2094594594594594,0.2012578616352201,0.2170542635658914
143,CHEMBL1075165_4ph4_CHEMBL3781076,5.200659450546418,CHEMBL1075165,4ph4,CHEMBL3781076,0.1818181818181818,0.1560283687943262,0.1818181818181818
144,CHEMBL1075165_4ph4_CHEMBL3781236,6.920818753952375,CHEMBL1075165,4ph4,CHEMBL3781236,0.3379310344827586,0.2903225806451613,0.3379310344827586
145,CHEMBL1075165_4ph4_CHEMBL3781415,7.832773124424534,CHEMBL1075165,4ph4,CHEMBL3781415,0.2207792207792207,0.2101910828025477,0.2362204724409448
146,CHEMBL1075165_4ph4_CHEMBL3781466,7.712984366136141,CHEMBL1075165,4ph4,CHEMBL3781466,0.240506329113924,0.1954022988505747,0.240506329113924
147,CHEMBL1075165_4ph4_CHEMBL3781615,7.119186407719209,CHEMBL1075165,4ph4,CHEMBL3781615,0.2356321839080459,0.2427745664739884,0.2831050228310502
148,CHEMBL1075165_4ph4_CHEMBL3781634,7.040958607678906,CHEMBL1075165,4ph4,CHEMBL3781634,0.2434210526315789,0.217391304347826,0.2434210526315789
149,CHEMBL1075165_4ph4_CHEMBL3781916,6.958607314841775,CHEMBL1075165,4ph4,CHEMBL3781916,0.304635761589404,0.16,0.304635761589404
150,CHEMBL1075165_4ph4_CHEMBL3781926,7.455931955649724,CHEMBL1075165,4ph4,CHEMBL3781926,0.2085889570552147,0.2,0.2085889570552147
151,CHEMBL1075165_4ph4_CHEMBL3781964,6.3979400086720375,CHEMBL1075165,4ph4,CHEMBL3781964,0.3169014084507042,0.2041884816753926,0.3169014084507042
152,CHEMBL1075165_4ph4_CHEMBL3782016,6.886056647693163,CHEMBL1075165,4ph4,CHEMBL3782016,0.2130177514792899,0.2093023255813953,0.2307692307692307
153,CHEMBL1075165_4ph4_CHEMBL3913746,7.360623199523586,CHEMBL1075165,4ph4,CHEMBL3913746,0.2515723270440251,0.1895424836601307,0.2515723270440251
154,CHEMBL1075165_4uwf_CHEMBL4470174,8.154901959985743,CHEMBL1075165,4uwf,CHEMBL4470174,0.1590909090909091,0.1666666666666666,0.2142857142857142
155,CHEMBL1075165_4uwf_CHEMBL4536855,8.154901959985743,CHEMBL1075165,4uwf,CHEMBL4536855,0.2023121387283237,0.1989528795811518,0.2445652173913043
156,CHEMBL1075165_4uwh_CHEMBL3622372,8.920818753952375,CHEMBL1075165,4uwh,CHEMBL3622372,0.1910828025477707,0.1646341463414634,0.192090395480226
157,CHEMBL1075165_4uwh_CHEMBL4517404,8.698970004336019,CHEMBL1075165,4uwh,CHEMBL4517404,0.2181818181818181,0.2012195121951219,0.2513368983957219
158,CHEMBL1075165_4uwh_CHEMBL4536755,8.522878745280337,CHEMBL1075165,4uwh,CHEMBL4536755,0.2181818181818181,0.2012195121951219,0.2513368983957219
159,CHEMBL1075165_4uwh_CHEMBL4586628,7.892578075976151,CHEMBL1075165,4uwh,CHEMBL4586628,0.1485714285714285,0.1277777777777777,0.1775147928994082
160,CHEMBL1075179_3djo_CHEMBL447360,4.38933983691012,CHEMBL1075179,3djo,CHEMBL447360,0.0909090909090909,0.0993377483443708,0.1608391608391608
161,CHEMBL1075179_3djo_CHEMBL460741,4.199282921717615,CHEMBL1075179,3djo,CHEMBL460741,0.0909090909090909,0.0993377483443708,0.1527777777777778
162,CHEMBL1075179_3djq_CHEMBL307679,2.8074604226852813,CHEMBL1075179,3djq,CHEMBL307679,0.1048387096774193,0.1,0.1438356164383561
